1.000000000000000000e+01,2.299999999999999822e+00
2.000000000000000000e+01,1.083999999999999986e+01
3.000000000000000000e+01,1.985999999999999943e+01
4.000000000000000000e+01,2.833999999999999986e+01
5.000000000000000000e+01,3.753999999999999915e+01
6.000000000000000000e+01,4.710000000000000142e+01
7.000000000000000000e+01,5.507999999999999829e+01
8.000000000000000000e+01,6.400000000000000000e+01
9.000000000000000000e+01,7.295999999999999375e+01
1.000000000000000000e+02,8.051999999999999602e+01
1.100000000000000000e+02,8.895999999999999375e+01
1.200000000000000000e+02,1.013799999999999955e+02
1.300000000000000000e+02,1.084800000000000040e+02
1.400000000000000000e+02,1.197800000000000011e+02
1.500000000000000000e+02,1.279800000000000040e+02
1.600000000000000000e+02,1.373400000000000034e+02
1.700000000000000000e+02,1.476599999999999966e+02
1.800000000000000000e+02,1.585399999999999920e+02
1.900000000000000000e+02,1.626800000000000068e+02
2.000000000000000000e+02,1.762400000000000091e+02
2.100000000000000000e+02,1.786399999999999864e+02
2.200000000000000000e+02,1.909799999999999898e+02
2.300000000000000000e+02,2.021800000000000068e+02
2.400000000000000000e+02,2.121800000000000068e+02
2.500000000000000000e+02,2.245200000000000102e+02
